"","Cell.ID","Value","Std.Error","p.value"
"199","7707",1.9705268203349e-07,4.29279503845781e-07,0.648578667502493
"200","7708",2.65404629179386e-07,3.88465836859989e-07,0.498224494814432
"201","7709",1.37563493244797e-07,4.15485073236662e-07,0.742221800822232
"202","7710",5.86550575843378e-08,2.73647972647039e-07,0.831315367794364
"203","7711",1.37563493244797e-07,4.15485073236662e-07,0.742221800822232
"204","7712",1.56738068234821e-07,3.92731863966204e-07,0.691843903002138
"205","7713",1.75713654114203e-07,3.91084219135593e-07,0.655526206948822
"206","7714",1.75713654114203e-07,3.91084219135593e-07,0.655526206948822
"207","7715",1.75713654114203e-07,3.91084219135593e-07,0.655526206948822
"208","7716",1.75713654114203e-07,3.91084219135593e-07,0.655526206948822
"209","7717",1.28241777184606e-07,2.7070293462061e-07,0.638141446538455
"210","7718",1.23147891164535e-07,2.98694114347102e-07,0.682225501027033
"211","7719",4.55437570086044e-07,3.72100938263964e-07,0.227788309674856
"212","7720",2.76092254506989e-07,3.13563878880144e-07,0.383600538473699
"213","7721",1.60541134268207e-07,2.68596208269284e-07,0.553246491718846
"214","7722",7.42754523402687e-08,2.86267578698974e-07,0.796546684845028
"215","7723",7.42754523402687e-08,2.86267578698974e-07,0.796546684845028
"216","7724",5.00621543220547e-07,3.85103743155334e-07,0.200702154450282
"217","7725",1.96395704084905e-07,3.18469073694643e-07,0.540769875733317
"218","7726",7.38388952006494e-08,2.50495225105612e-07,0.769620472144148
"219","7727",1.58048913795795e-08,2.51852648267137e-07,0.950259693012645
"220","7728",-5.62721737544067e-09,1.67735826324637e-07,0.973396444574359
"221","7729",0,0,1
"222","7730",0,0,1
"223","7731",2.72112714141242e-09,2.43838972370765e-07,0.991149012947618
"224","7732",2.87545663686123e-08,3.01942167410104e-07,0.924583450709084
"225","8144",1.74043207410957e-07,4.31519471007253e-07,0.688754112098332
"226","8145",8.76930235988406e-09,3.79106299752037e-07,0.981654919889327
"227","8146",2.83764877829875e-08,5.06520909294978e-07,0.955589674510689
"228","8147",8.76930235988406e-09,3.79106299752037e-07,0.981654919889327
"229","8148",2.72885084592832e-08,2.64738807169775e-07,0.91839238706543
"230","8149",2.72885084592832e-08,2.64738807169775e-07,0.91839238706543
"231","8150",-3.54893079557245e-22,2.91699839917528e-07,0.999999999999999
"232","8151",0,0,1
"233","8152",0,0,1
"234","8167",9.62509305712962e-07,2.69432994110873e-07,0.000903988372936716
"235","8175",2.25028697511858e-07,2.74583560683402e-07,0.41711214872052
"236","8176",0,0,1
"237","8177",0,0,1
"238","8178",0,0,1
"239","8182",0,0,1
"240","8183",0,0,1
"241","8184",0,0,1
"242","8185",0,0,1
"243","8186",0,0,1
"244","8192",0,0,1
"245","8193",0,0,1
"246","8198",0,0,1
"247","8199",0,0,1
"248","8200",0,0,1
"249","8202",0,0,1
"250","8203",0,0,1
"251","8204",0,0,1
"252","8205",0,0,1
"253","8235",0,0,1
"254","8272",0,0,1
"255","8273",0,0,1
"256","8274",0,0,1
"257","8275",0,0,1
"258","8276",0,0,1
"259","8277",0,0,1
"260","8278",0,0,1
"261","8383",0,0,1
"262","8384",0,0,1
"263","8385",0,0,1
"264","8386",0,0,1
"265","8419",4.66484778042467e-08,4.82095464494981e-07,0.923375739319344
"266","8420",1.39531976837051e-07,4.95993388448589e-07,0.779847709220273
"267","8421",1.82424781065466e-07,4.62537126891145e-07,0.695281134883757
"268","8422",4.73535816574601e-07,4.06187818920827e-07,0.250271181848787
"269","8423",4.73535816574601e-07,4.06187818920827e-07,0.250271181848787
"270","8424",5.17841403437356e-07,4.38137508062053e-07,0.243888046572675
"271","8425",7.20295706181451e-07,5.50015050444258e-07,0.197452423518503
"272","8426",7.15713129125361e-07,6.11838724160046e-07,0.248687443733074
"273","8427",9.06752270910679e-07,3.61668543597575e-07,0.0161259432037188
"274","8428",9.45290803578242e-07,3.37015326376588e-07,0.00759227412777141
"275","8429",8.17571364373659e-07,3.5951510286638e-07,0.0281328411628571
"276","8430",7.05467831159814e-07,3.94133986068259e-07,0.0806783216428412
"277","8431",6.76995257324065e-07,4.07477146351673e-07,0.104074621826978
"278","8432",6.69093208872244e-07,6.02988727966084e-07,0.273472427314334
"279","8433",6.74656015256627e-07,7.05993649829099e-07,0.344736565207163
"280","8434",7.14724852155072e-07,6.35433789874932e-07,0.267068346485507
"281","8435",7.43118476387339e-07,6.3564205374842e-07,0.248962606444585
"282","8436",8.70094648040238e-07,6.47642077190797e-07,0.186330514249738
"283","8437",9.06162923966493e-07,6.12712461252936e-07,0.146618820083417
"284","8438",6.56260200726552e-07,7.88565432670148e-07,0.409991717081942
"285","8439",6.87644795032599e-07,8.44724292050488e-07,0.420209892149486
"286","8440",6.87644795032599e-07,8.44724292050488e-07,0.420209892149486
"287","8441",8.5567676529816e-07,7.5087765277658e-07,0.260923578388189
"288","8442",7.66389338126983e-07,7.14496572031272e-07,0.289562501167933
"289","8443",1.30754131553277e-06,5.14818560602813e-07,0.0148799484231174
"290","8444",1.30754131553277e-06,5.14818560602813e-07,0.0148799484231174
"291","8445",9.52863849377008e-07,6.17496710446512e-07,0.130306611324141
"292","8446",8.17420021666217e-07,6.84393929798585e-07,0.239034812376902
"293","8447",8.17420021666217e-07,6.84393929798585e-07,0.239034812376902
"294","8448",1.01868935386412e-06,6.59617103771925e-07,0.130002241014258
"295","8449",9.51585111149383e-07,6.62492354961499e-07,0.158304050740037
"296","8450",9.51585111149383e-07,6.62492354961499e-07,0.158304050740037
"297","8451",7.32573533347199e-07,7.08244970120811e-07,0.306891555748702
"298","8452",6.69525584619713e-07,7.49044013355828e-07,0.376500980431943
"299","8453",4.14881544417156e-07,8.7913192779947e-07,0.639425280497284
"300","8454",7.59335081278565e-07,5.25517039140676e-07,0.155897714694879
"301","8455",6.80560195722425e-07,9.76626299297768e-07,0.489737063276555
"302","8456",6.80560195722425e-07,9.76626299297768e-07,0.489737063276555
"303","8457",7.70547146444102e-07,3.69768585689701e-07,0.0432945085074576
"304","8458",6.30553434349004e-07,4.66371991006447e-07,0.183598799894403
"305","8459",2.98207669484395e-07,6.28000001522126e-07,0.637351774844334
